pk_id_altmetrics_info,version,date_from,date_to,id,"title","journal_title","author",publication_date,"doi","detail_url","image_url",last_updated
0,1,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"Coupling of pollination services and coffee suitability under climate change","Proceedings of the National Academy of Sciences of the United States of America","Pablo Imbach;Emily Fung;Lee Hannah;Carlos E. Navarro-Racines;David W. Roubik;Taylor H. Ricketts;Celia A. Harvey;Camila I. Donatti;Peter Läderach;Bruno Locatelli;Patrick R. Roehrdanz",2017-09-11 00:00:00,"10.1073/pnas.1617940114","http://www.altmetric.com/details/25117380","https://badges.altmetric.com/?size=64&score=1042&types=mbrtttfg",2020-05-10 23:59:10
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"Natural climate solutions","Proceedings of the National Academy of Sciences of the United States of America","Bronson W. Griscom;Justin Adams;Peter W. Ellis;Richard A. Houghton;Guy Lomax;Daniela A. Miteva;William H. Schlesinger;David Shoch;Juha V. Siikamäki;Pete Smith;Peter Woodbury;Chris Zganjar;Allen Blackman;João Campari;Richard T. Conant;Christopher Delgado;Patricia Elias;Trisha Gopalakrishna;Marisa R. Hamsik;Mario Herrero;Joseph Kiesecker;Emily Landis;Lars Laestadius;Sara M. Leavitt;Susan Minnemeyer;Stephen Polasky;Peter Potapov;Francis E. Putz;Jonathan Sanderman;Marcel Silvius;Eva Wollenberg;Joseph Fargione",2017-10-16 00:00:00,"10.1073/pnas.1710465114","http://www.altmetric.com/details/27522064","https://badges.altmetric.com/?size=64&score=1459&types=mbrtwfdg",2020-05-10 23:59:10
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"Capacity shortfalls hinder the performance of marine protected areas globally","Nature","David A. Gill;Michael B. Mascia;Gabby N. Ahmadia;Louise Glew;Sarah E. Lester;Megan Barnes;Ian Craigie;Emily S. Darling;Christopher M. Free;Jonas Geldmann;Susie Holst;Olaf P. Jensen;Alan T. White;Xavier Basurto;Lauren Coad;Ruth D. Gates;Greg Guannel;Peter J. Mumby;Hannah Thomas;Sarah Whitmee;Stephen Woodley;Helen E. Fox",2017-03-22 00:00:00,"10.1038/nature21708","http://www.altmetric.com/details/18019373","https://badges.altmetric.com/?size=64&score=652&types=mbttttfd",2020-05-10 23:59:11
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"Persistent effects of pre-Columbian plant domestication on Amazonian forest composition","Science","C. Levis;F. R. C. Costa;F. Bongers;M. Peña-Claros;C. R. Clement;A. B. Junqueira;E. G. Neves;E. K. Tamanaha;F. O. G. Figueiredo;R. P. Salomão;C. V. Castilho;W. E. Magnusson;O. L. Phillips;J. E. Guevara;D. Sabatier;J.-F. Molino;D. Cárdenas López;A. M. Mendoza;N. C. A. Pitman;A. Duque;P. Núñez Vargas;C. E. Zartman;R. Vasquez;A. Andrade;J. L. Camargo;T. R. Feldpausch;S. G. W. Laurance;W. F. Laurance;T. J. Killeen;H. E. Mendonça Nascimento;J. C. Montero;B. Mostacedo;I. L. Amaral;I. C. Guimarães Vieira;R. Brienen;H. Castellanos;J. Terborgh;M. de Jesus Veiga Carim;J. R. da Silva Guimarães;L. de Souza Coelho;F. D. de Almeida Matos;F. Wittmann;H. F. Mogollón;G. Damasco;N. Dávila;R. García-Villacorta;E. N. H. Coronado;T. Emilio;D. de Andrade Lima Filho;J. Schietti;P. Souza;N. Targhetta;J. A. Comiskey;B. S. Marimon;B.-H. Marimon;D. Neill;A. Alonso;L. Arroyo;F. A. Carvalho;F. C. de Souza;F. Dallmeier;M. P. Pansonato;J. F. Duivenvoorden;P. V. A. Fine;P. R. Stevenson;A. Araujo-Murakami;G. A. Aymard C.;C. Baraloto;D. D. do Amaral;J. Engel;T. W. Henkel;P. Maas;P. Petronelli;J. D. Cardenas Revilla;J. Stropp;D. Daly;R. Gribel;M. Ríos Paredes;M. Silveira;R. Thomas-Caesar;T. R. Baker;N. F. da Silva;L. V. Ferreira;C. A. Peres;M. R. Silman;C. Cerón;F. C. Valverde;A. Di Fiore;E. M. Jimenez;M. C. Peñuela Mora;M. Toledo;E. M. Barbosa;L. C. de Matos Bonates;N. C. Arboleda;E. de Sousa Farias;A. Fuentes;J.-L. Guillaumet;P. Møller Jørgensen;Y. Malhi;I. P. de Andrade Miranda;J. F. Phillips;A. Prieto;A. Rudas;A. R. Ruschel;N. Silva;P. von Hildebrand;V. A. Vos;E. L. Zent;S. Zent;B. B. L. Cintra;M. T. Nascimento;A. A. Oliveira;H. Ramirez-Angulo;J. F. Ramos;G. Rivas;J. Schöngart;R. Sierra;M. Tirado;G. van der Heijden;E. V. Torre;O. Wang;K. R. Young;C. Baider;A. Cano;W. Farfan-Rios;C. Ferreira;B. Hoffman;C. Mendoza;I. Mesones;A. Torres-Lezama;M. N. U. Medina;T. R. van Andel;D. Villarroel;R. Zagt;M. N. Alexiades;H. Balslev;K. Garcia-Cabrera;T. Gonzales;L. Hernandez;I. Huamantupa-Chuquimaco;A. G. Manzatto;W. Milliken;W. P. Cuenca;S. Pansini;D. Pauletto;F. R. Arevalo;N. F. Costa Reis;A. F. Sampaio;L. E. Urrego Giraldo;E. H. Valderrama Sandoval;L. Valenzuela Gamarra;C. I. A. Vela;H. ter Steege",2017-03-02 00:00:00,"10.1126/science.aal0157","http://www.altmetric.com/details/16939498","https://badges.altmetric.com/?size=64&score=661&types=mbrttfdg",2020-05-10 23:59:11
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"Reducing antimicrobial use in food animals","Science","Thomas P. Van Boeckel;Emma E. Glennon;Dora Chen;Marius Gilbert;Timothy P. Robinson;Bryan T Grenfell;Simon A. Levin;Sebastian Bonhoeffer;Ramanan Laxminarayan",2017-09-28 00:00:00,"10.1126/science.aao1495","http://www.altmetric.com/details/26709041","https://badges.altmetric.com/?size=64&score=471&types=mbtttwfg",2020-05-10 23:59:11
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"Trees, forests and water: Cool insights for a hot world","Global Environmental Change Part A: Human & Policy Dimensions","David Ellison;Cindy E. Morris;Bruno Locatelli;Douglas Sheil;Jane Cohen;Daniel Murdiyarso;Victoria Gutierrez;Meine van Noordwijk;Irena F. Creed;Jan Pokorny;David Gaveau;Dominick V. Spracklen;Aida Bargués Tobella;Ulrik Ilstedt;Adriaan J. Teuling;Solomon Gebreyohannis Gebrehiwot;David C. Sands;Bart Muys;Bruno Verbist;Elaine Springgay;Yulia Sugandi;Caroline A. Sullivan",2017-03-01 00:00:00,"10.1016/j.gloenvcha.2017.01.002","http://www.altmetric.com/details/16256715","https://badges.altmetric.com/?size=64&score=521&types=mbvrtfdg",2020-05-10 23:59:11
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"Aspirations and the Role of Social Protection: Evidence from a Natural Disaster in Rural Pakistan","World Development","Katrina Kosec;Cecilia Hyunjung Mo",2017-09-01 00:00:00,"10.1016/j.worlddev.2017.03.039","http://www.altmetric.com/details/19876391","https://badges.altmetric.com/?size=64&score=471&types=mmbrtttd",2020-05-10 23:59:11
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"Global Sequestration Potential of Increased Organic Carbon in Cropland Soils","Scientific Reports","Sommer, Rolf; Zomer , Robert; Verchot, Louis; Bossio, Deborah A.",2017-11-14 00:00:00,"10.1038/s41598-017-15794-8","https://www.altmetric.com/details/28895958",,
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"Connecting Earth observation to high-throughput biodiversity data","Nature Ecology & Evolution","Alex Bush;Rahel Sollmann;Andreas Wilting;Kristine Bohmann;Beth Cole;Heiko Balzter;Christopher Martius;András Zlinszky;Sébastien Calvignac-Spencer;Christina A. Cobbold;Terence P. Dawson;Brent C. Emerson;Simon Ferrier;M. Thomas P. Gilbert;Martin Herold;Laurence Jones;Fabian H. Leendertz;Louise Matthews;James D. A. Millington;John R. Olson;Otso Ovaskainen;Dave Raffaelli;Richard Reeve;Mark-Oliver Rödel;Torrey W. Rodgers;Stewart Snape;Ingrid Visseren-Hamakers;Alfried P. Vogler;Piran C. L. White;Martin J. Wooster;Douglas W. Yu",2017-06-22 00:00:00,"10.1038/s41559-017-0176","http://www.altmetric.com/details/21271091","https://badges.altmetric.com/?size=64&score=260&types=mbtttttf",2020-05-10 23:59:11
